Sort,Realm,Subrealm,Kingdom,Subkingdom,Phylum,Subphylum,Class,Subclass,Order,Suborder,Family,Subfamily,Genus,Subgenus,Species,Genome,Last Change,MSL of Last Change,Proposal for Last Change ,Taxon History URL
13711,Riboviria,,Pararnavirae,,Artverviricota,,Revtraviricetes,,Ortervirales,,Retroviridae,Spumaretrovirinae,Equispumavirus,,Equispumavirus equcab,ssRNA-RT,"Renamed,",39,2023.009D.Retroviridae_68rensp.zip;2023.009DX.Retroviridae_68rensp_Error_Correction.zip,ictv.global=202305040
13712,Riboviria,,Pararnavirae,,Artverviricota,,Revtraviricetes,,Ortervirales,,Retroviridae,Spumaretrovirinae,Felispumavirus,,Felispumavirus felcat,ssRNA-RT,"Renamed,",39,2023.009D.Retroviridae_68rensp.zip;2023.009DX.Retroviridae_68rensp_Error_Correction.zip,ictv.global=202305041
13713,Riboviria,,Pararnavirae,,Artverviricota,,Revtraviricetes,,Ortervirales,,Retroviridae,Spumaretrovirinae,Prosimiispumavirus,,Prosimiispumavirus otocra,ssRNA-RT,"Renamed,",39,2023.009D.Retroviridae_68rensp.zip;2023.009DX.Retroviridae_68rensp_Error_Correction.zip,ictv.global=202305932
13714,Riboviria,,Pararnavirae,,Artverviricota,,Revtraviricetes,,Ortervirales,,Retroviridae,Spumaretrovirinae,Simiispumavirus,,Simiispumavirus atespp,ssRNA-RT,"Renamed,",39,2023.009D.Retroviridae_68rensp.zip;2023.009DX.Retroviridae_68rensp_Error_Correction.zip,ictv.global=202305939
13715,Riboviria,,Pararnavirae,,Artverviricota,,Revtraviricetes,,Ortervirales,,Retroviridae,Spumaretrovirinae,Simiispumavirus,,Simiispumavirus caljac,ssRNA-RT,"Renamed,",39,2023.009D.Retroviridae_68rensp.zip;2023.009DX.Retroviridae_68rensp_Error_Correction.zip,ictv.global=202305943
13716,Riboviria,,Pararnavirae,,Artverviricota,,Revtraviricetes,,Ortervirales,,Retroviridae,Spumaretrovirinae,Simiispumavirus,,Simiispumavirus cernic,ssRNA-RT,"Renamed,",39,2023.009D.Retroviridae_68rensp.zip;2023.009DX.Retroviridae_68rensp_Error_Correction.zip,ictv.global=202305936
13717,Riboviria,,Pararnavirae,,Artverviricota,,Revtraviricetes,,Ortervirales,,Retroviridae,Spumaretrovirinae,Simiispumavirus,,Simiispumavirus chlaet,ssRNA-RT,"Renamed,",39,2023.009D.Retroviridae_68rensp.zip;2023.009DX.Retroviridae_68rensp_Error_Correction.zip,ictv.global=202305038
13718,Riboviria,,Pararnavirae,,Artverviricota,,Revtraviricetes,,Ortervirales,,Retroviridae,Spumaretrovirinae,Simiispumavirus,,Simiispumavirus gorgorgor,ssRNA-RT,"Renamed,",39,2023.009D.Retroviridae_68rensp.zip;2023.009DX.Retroviridae_68rensp_Error_Correction.zip,ictv.global=202305942
13719,Riboviria,,Pararnavirae,,Artverviricota,,Revtraviricetes,,Ortervirales,,Retroviridae,Spumaretrovirinae,Simiispumavirus,,Simiispumavirus maccyc,ssRNA-RT,"Renamed,",39,2023.009D.Retroviridae_68rensp.zip;2023.009DX.Retroviridae_68rensp_Error_Correction.zip,ictv.global=202305042
13720,Riboviria,,Pararnavirae,,Artverviricota,,Revtraviricetes,,Ortervirales,,Retroviridae,Spumaretrovirinae,Simiispumavirus,,Simiispumavirus macfas,ssRNA-RT,"Renamed,",39,2023.009D.Retroviridae_68rensp.zip;2023.009DX.Retroviridae_68rensp_Error_Correction.zip,ictv.global=202306445
13721,Riboviria,,Pararnavirae,,Artverviricota,,Revtraviricetes,,Ortervirales,,Retroviridae,Spumaretrovirinae,Simiispumavirus,,Simiispumavirus macfus,ssRNA-RT,"Renamed,",39,2023.009D.Retroviridae_68rensp.zip;2023.009DX.Retroviridae_68rensp_Error_Correction.zip,ictv.global=202305937
13722,Riboviria,,Pararnavirae,,Artverviricota,,Revtraviricetes,,Ortervirales,,Retroviridae,Spumaretrovirinae,Simiispumavirus,,Simiispumavirus macmul,ssRNA-RT,"Renamed,",39,2023.009D.Retroviridae_68rensp.zip;2023.009DX.Retroviridae_68rensp_Error_Correction.zip,ictv.global=202305938
13723,Riboviria,,Pararnavirae,,Artverviricota,,Revtraviricetes,,Ortervirales,,Retroviridae,Spumaretrovirinae,Simiispumavirus,,Simiispumavirus pantrosch,ssRNA-RT,"Renamed,",39,2023.009D.Retroviridae_68rensp.zip;2023.009DX.Retroviridae_68rensp_Error_Correction.zip,ictv.global=202305043
13724,Riboviria,,Pararnavirae,,Artverviricota,,Revtraviricetes,,Ortervirales,,Retroviridae,Spumaretrovirinae,Simiispumavirus,,Simiispumavirus pantrotro,ssRNA-RT,"Renamed,",39,2023.009D.Retroviridae_68rensp.zip;2023.009DX.Retroviridae_68rensp_Error_Correction.zip,ictv.global=202305935
13725,Riboviria,,Pararnavirae,,Artverviricota,,Revtraviricetes,,Ortervirales,,Retroviridae,Spumaretrovirinae,Simiispumavirus,,Simiispumavirus pantrover,ssRNA-RT,"Renamed,",39,2023.009D.Retroviridae_68rensp.zip;2023.009DX.Retroviridae_68rensp_Error_Correction.zip,ictv.global=202305941
13726,Riboviria,,Pararnavirae,,Artverviricota,,Revtraviricetes,,Ortervirales,,Retroviridae,Spumaretrovirinae,Simiispumavirus,,Simiispumavirus ponpygpyg,ssRNA-RT,"Renamed,",39,2023.009D.Retroviridae_68rensp.zip;2023.009DX.Retroviridae_68rensp_Error_Correction.zip,ictv.global=202305934
13727,Riboviria,,Pararnavirae,,Artverviricota,,Revtraviricetes,,Ortervirales,,Retroviridae,Spumaretrovirinae,Simiispumavirus,,Simiispumavirus saisci,ssRNA-RT,"Renamed,",39,2023.009D.Retroviridae_68rensp.zip;2023.009DX.Retroviridae_68rensp_Error_Correction.zip,ictv.global=202305940
13728,Riboviria,,Pararnavirae,,Artverviricota,,Revtraviricetes,,Ortervirales,,Retroviridae,Spumaretrovirinae,Simiispumavirus,,Simiispumavirus sapxan,ssRNA-RT,"Renamed,",39,2023.009D.Retroviridae_68rensp.zip;2023.009DX.Retroviridae_68rensp_Error_Correction.zip,ictv.global=202305944
